Tweet	French	Wolof	English	Arabic	Emoji	Sereer	Pulaar	Other	
Le beau gosses le chouchou des nanas 🔥🔥🔥 https://t.co/mTJvpCI1ht	2				1				
'@XXXX @XXXX @XXXX Oui; c''est exact. Malinké = Mandinka = Mandingue = Socé...'	1							2	
@XXXX Nguanima 😭😭😂		2			2				
@XXXX 😔❤❤❤❤❤❤❤❤❤❤					2				
@XXXX Niaaaaaaaff								2	
Alvaro Morata: BIG... GAME.... PLAYER.			2						
🤣🤣🤣🤣🤣 https://t.co/JA0qtxMAm9					2				
@XXXX @XXXX Kaw kaw nga wone		2							
@XXXX iow ya may motiver nak 💍	1	2							
'#Orpaillage en @XXXX imaginez que ca trouve 2 l''or depuis 3000 ans! @XXXX @XXXX @XXXX https://t.co/rBUieX2ccY'	2								
'🚶🏿‍♂️l''histoire là 🤣👌 https://t.co/pINDuKL5i6'	2				1				
@XXXX @XXXX @XXXX @XXXX @XXXX Contre le Sénégal 2 fois lors de la can	2								
Le Bâtiment et le chat. 🔥 https://t.co/zlZA4tnPuC	2								
Malinkés = Mandika = Socé.  Fin de cours... https://t.co/1G7kKRsnF5	1							2	
@XXXX Dama contane 😭😭😭		2			2				
@XXXX Soff nga😂		2			1				
Monstrueux 🔥🔥🔥 https://t.co/HSvBZW4KRg	2				2				
https://t.co/SrlSpeMVgU									
@XXXX Peut-être bien 😂😂	2				1				
@XXXX For everyone			2						
@XXXX Voilà donc je pense que Abdou Diallo doit venir dans l’axe si jamais kouyaté saute mais pas Ousseynou. C’est mon opinion	2								
@XXXX Mdrr naniou ko mougn ret Golden diarna ko😭😭	1	2	1						
@XXXX Amiin🙏🏿		1		1	1				
Kalidou Koulibaly : « Pape Abou a fait un grand match... On doit être humble si on veut... » https://t.co/w47NayPVn1 https://t.co/RcnDuqR92e	2								
@XXXX Je suis chez moi tranquille  BLC https://t.co/3PTpkhi96y	2								
'Vous êtes hyper hypocrites ici. C''est incroyable https://t.co/4LklP5FgR0'	2								
@XXXX 😂 Amine 🙏🏾❤️		1		1	2				
@XXXX @XXXX Hbday sama fils bi wish you all the best surtout yalla def la mère  bou yarou waay	1	2	1						
@XXXX Mage moko wakh😭😭		2			1				
@XXXX Allaahuma amiin ci sama rakk ji oooh😭🙈 Mbacké yàgg fi te wér yawit.🙏🏿		2		1	1			1	
@XXXX Amine🙏🏾 Merci 🥺❤️	1	1		1	2				
@XXXX Serigne bi daw sakh dafa touti nii laaay deff 🤣🤣 https://t.co/rXfN4DX9mo		2							
@XXXX Defko bakhal rek soor thieb bi nonou amna ay khadj you doul lek lii		2							
@XXXX @XXXX @XXXX SUSHSJDJAJAJSJSH🤣😭😭😭😭😭😭😭😭😭					2			1	
@XXXX Pleure 😢	2				1				
@XXXX 😁					2				
@XXXX 👍					2				
@XXXX 🤣🤣🤣					2				
@XXXX My prayers are May we never be in a problem that we will need Nigerian government			2						
Vrai comédien ce gars 😂😂 https://t.co/d4FI34ZCHh	2				1				
Primud eux tous ont porté la même chaussures ayiii#Primud2021	2							1	
“gugu gaga” 🥴😂 https://t.co/HeoC8dF2HB					1			1	
	287	209	58	11	153	0	0	35	
